[0, 3, 8, 15, 26] | 39
[3, 8, 15, 26, 39] | 56
[8, 15, 26, 39, 56] | 75
[15, 26, 39, 56, 75] | 98
[26, 39, 56, 75, 98] | 127
[39, 56, 75, 98, 127] | 158
[56, 75, 98, 127, 158] | 195
[75, 98, 127, 158, 195] | 236
[98, 127, 158, 195, 236] | 279
[127, 158, 195, 236, 279] | 326
[158, 195, 236, 279, 326] | 379
[195, 236, 279, 326, 379] | 438
[236, 279, 326, 379, 438] | 499
[279, 326, 379, 438, 499] | 566
[326, 379, 438, 499, 566] | 637
[379, 438, 499, 566, 637] | 710
[438, 499, 566, 637, 710] | 789
[499, 566, 637, 710, 789] | 872
[566, 637, 710, 789, 872] | 961
[637, 710, 789, 872, 961] | 1058
[710, 789, 872, 961, 1058] | 1159
[789, 872, 961, 1058, 1159] | 1262
[872, 961, 1058, 1159, 1262] | 1369
[961, 1058, 1159, 1262, 1369] | 1478
[1058, 1159, 1262, 1369, 1478] | 1591
[1159, 1262, 1369, 1478, 1591] | 1718
[1262, 1369, 1478, 1591, 1718] | 1849
[1369, 1478, 1591, 1718, 1849] | 1986
[1478, 1591, 1718, 1849, 1986] | 2125
[1591, 1718, 1849, 1986, 2125] | 2274
[1718, 1849, 1986, 2125, 2274] | 2425
[1849, 1986, 2125, 2274, 2425] | 2582
[1986, 2125, 2274, 2425, 2582] | 2745
[2125, 2274, 2425, 2582, 2745] | 2912
[2274, 2425, 2582, 2745, 2912] | 3085
[2425, 2582, 2745, 2912, 3085] | 3264
[2582, 2745, 2912, 3085, 3264] | 3445
[2745, 2912, 3085, 3264, 3445] | 3636
[2912, 3085, 3264, 3445, 3636] | 3829
[3085, 3264, 3445, 3636, 3829] | 4026
[3264, 3445, 3636, 3829, 4026] | 4225
[3445, 3636, 3829, 4026, 4225] | 4436
[3636, 3829, 4026, 4225, 4436] | 4659
[3829, 4026, 4225, 4436, 4659] | 4886
[4026, 4225, 4436, 4659, 4886] | 5115
[4225, 4436, 4659, 4886, 5115] | 5348
[4436, 4659, 4886, 5115, 5348] | 5587
[4659, 4886, 5115, 5348, 5587] | 5828
[4886, 5115, 5348, 5587, 5828] | 6079
[5115, 5348, 5587, 5828, 6079] | 6336
[5348, 5587, 5828, 6079, 6336] | 6599
[5587, 5828, 6079, 6336, 6599] | 6868
[5828, 6079, 6336, 6599, 6868] | 7139
[6079, 6336, 6599, 6868, 7139] | 7416
[6336, 6599, 6868, 7139, 7416] | 7697
[6599, 6868, 7139, 7416, 7697] | 7980
[6868, 7139, 7416, 7697, 7980] | 8273
[7139, 7416, 7697, 7980, 8273] | 8580
[7416, 7697, 7980, 8273, 8580] | 8891
[7697, 7980, 8273, 8580, 8891] | 9204
[7980, 8273, 8580, 8891, 9204] | 9521
[8273, 8580, 8891, 9204, 9521] | 9852
[8580, 8891, 9204, 9521, 9852] | 10189
[8891, 9204, 9521, 9852, 10189] | 10536
[9204, 9521, 9852, 10189, 10536] | 10885
[9521, 9852, 10189, 10536, 10885] | 11238
[9852, 10189, 10536, 10885, 11238] | 11597
[10189, 10536, 10885, 11238, 11597] | 11964
[10536, 10885, 11238, 11597, 11964] | 12337
[10885, 11238, 11597, 11964, 12337] | 12716
[11238, 11597, 11964, 12337, 12716] | 13099
[11597, 11964, 12337, 12716, 13099] | 13488
[11964, 12337, 12716, 13099, 13488] | 13885
[12337, 12716, 13099, 13488, 13885] | 14286
[12716, 13099, 13488, 13885, 14286] | 14695
[13099, 13488, 13885, 14286, 14695] | 15114
[13488, 13885, 14286, 14695, 15114] | 15535
[13885, 14286, 14695, 15114, 15535] | 15966
[14286, 14695, 15114, 15535, 15966] | 16399
[14695, 15114, 15535, 15966, 16399] | 16838
[15114, 15535, 15966, 16399, 16838] | 17281
[15535, 15966, 16399, 16838, 17281] | 17730
[15966, 16399, 16838, 17281, 17730] | 18187
[16399, 16838, 17281, 17730, 18187] | 18648
[16838, 17281, 17730, 18187, 18648] | 19111
[17281, 17730, 18187, 18648, 19111] | 19578
[17730, 18187, 18648, 19111, 19578] | 20057
[18187, 18648, 19111, 19578, 20057] | 20544
[18648, 19111, 19578, 20057, 20544] | 21035
[19111, 19578, 20057, 20544, 21035] | 21534
